,WARD_NO,WARD_NAME,ZONE,geometry
0,100,Basaveshwara Nagar,West,"POLYGON ((77.537486 12.987944, 77.537879 12.989663, 77.538072 12.990581, 77.538421 12.991567, 77.539085 12.993285, 77.539833 12.995288, 77.540364 12.996881, 77.540661 12.996885, 77.541208 12.997368, 77.542849 12.996381, 77.54278600000001 12.99554, 77.54428 12.99523, 77.545903 12.994795, 77.54572 12.99418, 77.54576400000001 12.993375, 77.54599399999999 12.991899, 77.54602800000001 12.991135, 77.545738 12.99, 77.54556599999999 12.988665, 77.545365 12.986444, 77.545278 12.985707, 77.54518 12.985028, 77.543604 12.985328, 77.542418 12.985698, 77.542175 12.985768, 77.54196899999999 12.985857, 77.53986999999999 12.986933, 77.538814 12.987473, 77.538065 12.987846, 77.537936 12.987879, 77.537486 12.987944))"
1,108,Sriramamandir,West,"POLYGON ((77.54909000000001 12.984402, 77.549128 12.984924, 77.549245 12.984916, 77.550532 12.984715, 77.55174700000001 12.984527, 77.55262999999999 12.984457, 77.554165 12.984359, 77.554292 12.987498, 77.55443099999999 12.989931, 77.556043 12.989887, 77.557259 12.990624, 77.557902 12.99104, 77.55918 12.988866, 77.559827 12.987706, 77.56013299999999 12.985842, 77.56025200000001 12.983394, 77.56083099999999 12.982834, 77.561308 12.982633, 77.561071 12.982314, 77.56092200000001 12.981822, 77.560863 12.981474, 77.560625 12.981068, 77.560328 12.98101, 77.55991299999999 12.980923, 77.559556 12.980779, 77.55928900000001 12.98046, 77.55906400000001 12.980119, 77.558528 12.980827, 77.557564 12.980461, 77.555756 12.980166, 77.555277 12.980078, 77.555015 12.980038, 77.553777 12.979963, 77.55388000000001 12.98062, 77.550712 12.980758, 77.550684 12.981697, 77.550326 12.981725, 77.549054 12.981774, 77.548997 12.984403, 77.54909000000001 12.984402))"
2,136,Jagajivanaramnagar,South,"POLYGON ((77.55440900000001 12.958224, 77.552441 12.957569, 77.552181 12.957485, 77.551536 12.957249, 77.55006400000001 12.956886, 77.549576 12.956823, 77.548389 12.956657, 77.547437 12.958381, 77.54723799999999 12.958734, 77.54712600000001 12.95896, 77.546657 12.959826, 77.546409 12.960277, 77.54609600000001 12.96081, 77.545748 12.961408, 77.545936 12.961371, 77.54652400000001 12.96122, 77.546851 12.961149, 77.547331 12.961049, 77.54742400000001 12.96103, 77.547651 12.960983, 77.54844300000001 12.960866, 77.548793 12.960857, 77.548879 12.961284, 77.54892 12.961487, 77.54908500000001 12.961988, 77.549308 12.962263, 77.54946200000001 12.962142, 77.54951800000001 12.962096, 77.549699 12.961972, 77.549863 12.961898, 77.549967 12.961874, 77.550147 12.961828, 77.550426 12.961761, 77.550499 12.962001, 77.55055 12.962125, 77.550657 12.962347, 77.550849 12.963032, 77.551125 12.964057, 77.55115499999999 12.964067, 77.551261 12.964122, 77.551346 12.964196, 77.551389 12.96425, 77.55143200000001 12.964314, 77.551478 12.964368, 77.551498 12.964393, 77.55153900000001 12.964415, 77.551596 12.964437, 77.551677 12.964463, 77.551776 12.964471, 77.551946 12.964474, 77.552283 12.964453, 77.552702 12.96442, 77.553296 12.964382, 77.553814 12.964324, 77.55450999999999 12.964249, 77.55470099999999 12.964249, 77.554914 12.964314, 77.555232 12.964448, 77.555457 12.964382, 77.556212 12.964165, 77.556496 12.964082, 77.556631 12.964027, 77.55654 12.96369, 77.556456 12.963281, 77.55633899999999 12.962817, 77.55562999999999 12.962989, 77.555449 12.963013, 77.555588 12.962572, 77.55617700000001 12.961708, 77.55725700000001 12.960635, 77.55696 12.960463, 77.55679000000001 12.960353, 77.556358 12.960073, 77.556155 12.95992, 77.555787 12.959602, 77.555576 12.959315, 77.555172 12.9587, 77.555076 12.958607, 77.554891 12.95847, 77.55440900000001 12.958224))"
3,043,Nandini Layout,West,"POLYGON ((77.52766699999999 13.010522, 77.52780300000001 13.010681, 77.528086 13.010975, 77.52833200000001 13.011206, 77.528718 13.011566, 77.528977 13.011853, 77.52988000000001 13.013158, 77.530366 13.013981, 77.530646 13.01458, 77.53119700000001 13.016099, 77.5318 13.018159, 77.532031 13.019162, 77.532195 13.020213, 77.532381 13.021141, 77.532489 13.021691, 77.532545 13.021874, 77.53259 13.022019, 77.532804 13.022015, 77.533169 13.021961, 77.53363899999999 13.021899, 77.53387499999999 13.021858, 77.534295 13.021785, 77.534978 13.021708, 77.535134 13.021663, 77.535639 13.021399, 77.53698300000001 13.020632, 77.538077 13.020006, 77.53831 13.019871, 77.53811899999999 13.019418, 77.53808100000001 13.019011, 77.537756 13.018275, 77.537539 13.017859, 77.537462 13.017592, 77.537285 13.017451, 77.537988 13.017422, 77.538736 13.017349, 77.539485 13.017246, 77.53966800000001 13.017172, 77.53955999999999 13.016666, 77.539413 13.016085, 77.53918299999999 13.015564, 77.538983 13.015028, 77.53886 13.014522, 77.538523 13.013927, 77.53827699999999 13.013376, 77.53778699999999 13.01284, 77.537465 13.012393, 77.537449 13.012185, 77.53770900000001 13.011873, 77.53796800000001 13.011546, 77.538365 13.011517, 77.53867 13.011517, 77.53943599999999 13.012083, 77.53986399999999 13.012337, 77.540063 13.012307, 77.54003899999999 13.011965, 77.53985400000001 13.011236, 77.539396 13.01128, 77.53908800000001 13.010417, 77.53892 13.010074, 77.53855299999999 13.010133, 77.538262 13.009865, 77.537589 13.009433, 77.537588 13.009225, 77.537493 13.007633, 77.537493 13.007424, 77.53762999999999 13.007335, 77.537767 13.007142, 77.53778200000001 13.006889, 77.53769 13.006755, 77.537476 13.006636, 77.53729300000001 13.006665, 77.536896 13.007007, 77.536423 13.007349, 77.53613300000001 13.007586, 77.536011 13.007333, 77.53572 13.007184, 77.535399 13.007184, 77.534987 13.007302, 77.534942 13.007763, 77.534468 13.007778, 77.53433 13.007569, 77.53369600000001 13.007435, 77.53314399999999 13.006764, 77.53292999999999 13.006541, 77.532318 13.006034, 77.531385 13.005632, 77.529781 13.005912, 77.52999800000001 13.007564, 77.530259 13.008234, 77.530275 13.008546, 77.53023 13.008754, 77.530221 13.00908, 77.529635 13.009247, 77.529252 13.009317, 77.528886 13.009481, 77.52829 13.009869, 77.52766699999999 13.010522))"
4,074,Shakthi Ganapathi Nagar,South,"POLYGON ((77.523904 12.997968, 77.527767 12.998883, 77.52785299999999 12.998862, 77.528049 12.998771, 77.52834199999999 12.998675, 77.528398 12.998799, 77.52852300000001 12.998909, 77.52857899999999 12.998849, 77.528672 12.998802, 77.52882 12.998817, 77.52923800000001 12.998866, 77.52939600000001 12.998799, 77.52931599999999 12.998502, 77.529247 12.998157, 77.529253 12.99806, 77.52976 12.99775, 77.530287 12.997624, 77.531291 12.997335, 77.531255 12.997066, 77.532494 12.996703, 77.532534 12.996691, 77.53310999999999 12.996528, 77.533501 12.996395, 77.533466 12.995641, 77.534661 12.99567, 77.53494000000001 12.995722, 77.536888 12.995468, 77.537593 12.995367, 77.537812 12.995288, 77.539833 12.995288, 77.539085 12.993285, 77.538421 12.991567, 77.534474 12.992172, 77.534182 12.992247, 77.53164700000001 12.992576, 77.530232 12.99275, 77.530297 12.993159, 77.529556 12.993258, 77.528901 12.993344, 77.52875400000001 12.993414, 77.52758300000001 12.99393, 77.526729 12.994155, 77.526797 12.994438, 77.52691799999999 12.994955, 77.525423 12.995352, 77.524762 12.995539, 77.52423899999999 12.995739, 77.523574 12.995918, 77.52288799999999 12.996176, 77.523904 12.997968))"
5,099,Rajaji Nagar,West,"POLYGON ((77.540364 12.996881, 77.541115 12.999316, 77.541127 12.999355, 77.542823 12.998368, 77.545132 12.997496, 77.54637200000001 12.997462, 77.55011399999999 12.997603, 77.55097000000001 12.997777, 77.55112099999999 12.997775, 77.551203 12.997777, 77.55161200000001 12.997872, 77.552373 12.99804, 77.553051 12.998181, 77.55313200000001 12.998202, 77.554436 12.996156, 77.55546 12.99429, 77.557063 12.992216, 77.557902 12.99104, 77.557259 12.990624, 77.556043 12.989887, 77.55443099999999 12.989931, 77.554373 12.989931, 77.553376 12.989982, 77.55329500000001 12.989986, 77.553252 12.989988, 77.553207 12.989994, 77.552549 12.990026, 77.550614 12.99011, 77.550905 12.991078, 77.550951 12.991321, 77.55097600000001 12.991552, 77.551007 12.992462, 77.55101000000001 12.993466, 77.54576400000001 12.993375, 77.54572 12.99418, 77.545903 12.994795, 77.54428 12.99523, 77.54278600000001 12.99554, 77.542849 12.996381, 77.541208 12.997368, 77.540661 12.996885, 77.540364 12.996881))"
6,110,Sampangiram Nagar,East,"POLYGON ((77.615739 12.982724, 77.615619 12.982041, 77.615633 12.981461, 77.61563 12.981301, 77.615549 12.981025, 77.615448 12.980878, 77.61451 12.980814, 77.614114 12.979562, 77.614773 12.979264, 77.615132 12.979102, 77.615279 12.97903, 77.61533900000001 12.978989, 77.61539500000001 12.97888, 77.615419 12.978713, 77.61520899999999 12.977823, 77.614846 12.976643, 77.614752 12.97651, 77.614701 12.976333, 77.61438 12.975385, 77.60879 12.977213, 77.60863999999999 12.977262, 77.606695 12.977893, 77.605932 12.978135, 77.60336700000001 12.978994, 77.602464 12.979281, 77.600837 12.979819, 77.598417 12.98061, 77.59734400000001 12.980963, 77.597442 12.98082, 77.598135 12.97932, 77.599317 12.976676, 77.59919499999999 12.976643, 77.598997 12.976515, 77.597632 12.975496, 77.596868 12.974966, 77.59640400000001 12.974591, 77.596098 12.974338, 77.5958 12.97409, 77.59538999999999 12.973761, 77.595213 12.973612, 77.595072 12.973479, 77.59492899999999 12.973321, 77.594117 12.97235, 77.59409100000001 12.97226, 77.593987 12.972156, 77.593936 12.972104, 77.593994 12.971746, 77.594446 12.969808, 77.594639 12.968993, 77.594931 12.967202, 77.59505 12.966764, 77.595083 12.966625, 77.59511500000001 12.966495, 77.595197 12.966284, 77.59536199999999 12.965992, 77.59546899999999 12.965812, 77.595709 12.965438, 77.595856 12.965245, 77.59595299999999 12.965155, 77.596039 12.965081, 77.596154 12.965014, 77.59626 12.964971, 77.596862 12.964829, 77.596845 12.964788, 77.596755 12.964584, 77.596605 12.96427, 77.59648 12.964045, 77.596374 12.963877, 77.59628499999999 12.963739, 77.596199 12.963619, 77.59611599999999 12.9635, 77.595961 12.963329, 77.59581799999999 12.963182, 77.595585 12.962974, 77.595102 12.962591, 77.594992 12.962509, 77.59487 12.962411, 77.594742 12.96235, 77.594624 12.962309, 77.594494 12.962272, 77.59435000000001 12.962239, 77.594178 12.962212, 77.59393300000001 12.962197, 77.593835 12.962196, 77.593665 12.962193, 77.593064 12.962242, 77.59274000000001 12.962293, 77.592338 12.962376, 77.592009 12.962453, 77.59106 12.962612, 77.59062400000001 12.962641, 77.59042700000001 12.962651, 77.590279 12.962682, 77.590164 12.962714, 77.590023 12.962747, 77.589887 12.96279, 77.589533 12.962991, 77.58926 12.963311, 77.58893399999999 12.9636, 77.588605 12.963891, 77.58727399999999 12.965072, 77.586832 12.965478, 77.587129 12.965855, 77.587496 12.966281, 77.58777600000001 12.966606, 77.58789899999999 12.966748, 77.587768 12.966745, 77.587673 12.966758, 77.587552 12.966795, 77.58742599999999 12.966843, 77.58743 12.966873, 77.587397 12.967303, 77.58734699999999 12.967525, 77.587121 12.967952, 77.586828 12.968296, 77.585887 12.969138, 77.58556400000001 12.969461, 77.584447 12.97037, 77.583399 12.971384, 77.58315399999999 12.971621, 77.582234 12.972339, 77.581453 12.972834, 77.581166 12.972953, 77.58103 12.973008, 77.581228 12.97331, 77.581354 12.973502, 77.581444 12.973583, 77.58245100000001 12.975096, 77.58352499999999 12.976476, 77.583754 12.976785, 77.583927 12.977049, 77.584858 12.978791, 77.58538900000001 12.979636, 77.58587300000001 12.980382, 77.58602500000001 12.980601, 77.58670100000001 12.981651, 77.58722 12.982599, 77.587598 12.983378, 77.58792200000001 12.984128, 77.588026 12.984404, 77.588267 12.98449, 77.588245 12.984626, 77.588239 12.984731, 77.588245 12.98483, 77.588256 12.984914, 77.588409 12.985317, 77.58865400000001 12.985928, 77.588717 12.986147, 77.58876600000001 12.986333, 77.588821 12.986562, 77.588893 12.986596, 77.589528 12.985927, 77.59037499999999 12.986753, 77.590536 12.986937, 77.59092 12.987378, 77.59118599999999 12.987683, 77.591891 12.988492, 77.59192299999999 12.988528, 77.591987 12.988598, 77.592679 12.989437, 77.592828 12.989709, 77.593395 12.989007, 77.593548 12.98881, 77.593642 12.988693, 77.59425 12.987928, 77.594409 12.987735, 77.594893 12.987146, 77.595026 12.986961, 77.59535200000001 12.986552, 77.595591 12.986273, 77.595809 12.986012, 77.596018 12.985766, 77.596716 12.984935, 77.59675 12.984894, 77.597193 12.984391, 77.597247 12.984339, 77.597365 12.984201, 77.597488 12.984112, 77.597611 12.984062, 77.597765 12.984018, 77.598501 12.984098, 77.598715 12.984121, 77.59892600000001 12.98416, 77.599266 12.984223, 77.59976399999999 12.984315, 77.601399 12.984616, 77.60178500000001 12.984695, 77.601782 12.984632, 77.601946 12.984522, 77.602076 12.984455, 77.60317499999999 12.984169, 77.603289 12.984152, 77.60356299999999 12.984112, 77.603769 12.984082, 77.60439 12.984122, 77.604955 12.984101, 77.60516800000001 12.984076, 77.60575799999999 12.983957, 77.606077 12.983869, 77.60618599999999 12.983833, 77.606506 12.983758, 77.60661500000001 12.983732, 77.606685 12.983873, 77.606847 12.984197, 77.607519 12.984104, 77.607643 12.984074, 77.60815100000001 12.983886, 77.608671 12.983688, 77.609464 12.983405, 77.609503 12.983391, 77.610095 12.983196, 77.61063900000001 12.982996, 77.610795 12.98333, 77.610997 12.983633, 77.611839 12.983295, 77.612385 12.983096, 77.61245599999999 12.983049, 77.612487 12.983011, 77.61261500000001 12.982852, 77.612754 12.982711, 77.612824 12.982778, 77.612925 12.982875, 77.613544 12.982699, 77.614248 12.982549, 77.61433100000001 12.982531, 77.614541 12.982501, 77.61456200000001 12.982503, 77.614929 12.982545, 77.615549 12.982616, 77.615739 12.982724))"
